word,sum of current price,occurence
行動電源,27290295,20
風扇,50852291,20
去除,53071585,20
輸入,49132588,20
鞋墊,68990284,20
折疊,64425000,20
餐具,49522386,20
下載,35629838,20
方案,14965825,20
疫情,23187779,20
組合,27939889,20
垃圾,32671295,20
面料,21825491,20
噴霧,8377638,20
脂肪,8587272,20
公斤,21616695,20
病菌,33860165,20
離子,34310979,20
專利權,19669947,19
海報,14544196,19
溫度,18622118,19
新鮮,39007249,19
機器,64094863,19
數位,5773303,19
標示,109565797,19
發明,23441281,19
卡片,26285557,19
馬達,97491650,19
吸濕,26436215,19
貓咪,13975388,19
鏡頭,92313364,19
線上,14826283,19
單位,5108088,19
歷史,34313770,19
電影,10914999,19
播放,43598510,19
鞋底,76376475,19
試穿,37589746,19
設計師,21152983,19
舉辦,2757060,19
咖啡豆,52173416,19
社區,6469404,19
桿菌,24484453,19
快速,16480576,19
電量,49427272,19
感應,37495493,19
退貨,19883641,19
玩法,57043233,18
版本,21714587,18
長度,38708801,18
小朋友,35228537,18
攜帶,21773886,18
贊助,38841796,18
喇叭,38892054,18
專屬,47359143,18
步驟,10386002,18
外接,32640947,18
群眾,67089114,18
未來,15148627,18
酒精,3069977,18
燈光,38258266,18
材質,30925547,18
紡織,8555929,18
技術,23833825,18
款式,6586486,18
電子,17990907,18
毛孩,19337057,18
日期,23209213,18
人體工學,13307775,18
作用,4034036,18
繪本,21410532,18
行李箱,12079152,18
偵測,52896405,18
摺疊,31846708,18
內建,71010423,18
獨立,46893245,18
尺碼,17417185,18
現場,41665875,18
預購,15135452,18
水分,13782792,18
入組,37864842,18
肩頸,13686551,18
效果,15053944,18
結構,41475066,18
記憶,63063684,18
電壓,26219076,18
觸控,61632025,18
再生,43603895,18
禮盒,7714939,18
探索,66564494,17
互動,49348168,17
台北,33394355,17
安全帽,28887122,17
變形,30598972,17
出門,26032247,17
國際,33981338,17
按鍵,32881737,17
有效,32245979,17
飲品,11575549,17
孩童,6604035,17
學校,3072581,17
吸附,46525671,17
零件,48461443,17
金額,25921713,17
測量,50608532,17
編織,46771460,17
微波,32257024,17
實驗室,18201534,17
印刷,10549220,17
客製化,28256735,17
樂團,15681551,17
指示燈,18897985,17
適用,54444541,17
音質,20890328,17
電流,32720039,17
建築,34438702,17
助理,16744168,17
親膚,12864134,17
透明,43855055,17
內含,14579676,17
乾燥,10310322,17
瑕疵,27191221,17
收納盒,35425222,17
居家,48146950,17
定時,39453860,17
線材,18147616,17
手錶,27450846,17
袖長,23663116,17
眼鏡,21710706,17
表面,25621375,17
身體,19456970,17
玩具,58300513,16
操控,56336796,16
外層,18314337,16
中華民國,8162538,16
達標,37833450,16
弱勢,2165270,16
偏鄉,4227094,16
狗狗,9293110,16
美味,16201877,16
廚房,32654798,16
蛋白質,19516101,16
傳輸線,60863242,16
格式,49663002,16
蘋果,38001594,16
照片,44592160,16
導演,3748665,16
夢想,2552517,16
啟動,4208516,16
升級,60803504,16
連線,32046509,16
專輯,3007305,16
隨行,57055901,16
排汗,10772637,16
退購,29904522,16
提醒,22638231,16
樣品,25959572,16
出版,23300325,16
肌肉,24456215,16
過敏,45497280,16
造型,6104873,16
飲料,51525336,16
講座,26011398,16
放置,5189011,16
塗層,86908224,16
錄影,50511695,16
體驗,15374058,16
展演,5279475,16
手作,4778812,16
製作,9459417,16
露營,17393389,16
議題,4814971,16
供電,13580505,16
風速,43246122,16
雕刻,76250311,16
女孩,8431670,16
工作室,37177495,16
工作坊,7146576,16
鑰匙,10153144,16
實驗,31155064,16
部落,7621812,16
快取,38716085,16
直播,19846723,16
殘留,15535773,16
雙面,21127648,16
關閉,31765520,16
協議,33527875,16
壽命,42719498,16
刷頭,36511212,16
遙控器,73136538,16
公尺,34181222,16
森林,15748460,16
人體,989676,16
版型,16673291,16
薰衣草,29075042,16
親子,51695932,15
嘖價,56468195,15
立體,46089123,15
證書,60964842,15
政治,9973667,15
傳統,22213572,15
簡約,53973181,15
檔案,45775182,15
衣長,7068319,15
杯蓋,38617355,15
騎乘,15419362,15
技能,17601957,15
情境,43648583,15
黏貼,17982976,15
高雄,55120860,15
呼吸,29916467,15
資料,24943037,15
主題,5500323,15
耳朵,17105602,15
乾爽,65842473,15
分離,20815980,15
大腸,13731664,15
實體,3818024,15
輕量,29821004,15
頂級,10293992,15
紀念,27972189,15
抑菌,28454695,15
行李,7182718,15
陶瓷,51299296,15
開口,39778528,15
任選,35505862,15
低音,22134187,15
實木,39592940,15
在地,14771546,15
觀眾,5783001,15
電視,41842987,15
藝術家,2082061,15
保存,30681605,15
任務,6653657,15
膠帶,8877318,15
品牌,18598459,15
創意,49372759,15
降噪,46652596,15
續航,44656476,15
電話,18116441,15
長輩,5277583,15
歌曲,35394271,15
握把,52453788,15
肩帶,35061467,15
損壞,26359093,15
退款,14062861,15
調節,43141743,15
汽車,4678328,15
關懷,2316696,15
器材,38367593,15
陪伴,2321371,15
味道,17379846,15
胸圍,6859261,15
發霉,25964005,15
開關,24962982,15
精品,32208855,15
外套,30219441,15
觀看,17293634,15
能量,16989689,15
負離子,4667619,15
守護,17848740,15
衛生,27778914,15
優惠價,12033781,15
培養,58721280,14
小孩,34756895,14
平均,52052445,14
能力,30688662,14
自我,27981656,14
機車,11220480,14
防盜,11811891,14
泡棉,28018931,14
保溫,29501745,14
首創,12543233,14
反光,22848139,14
超強,22265421,14
目標,23544711,14
感謝,4798334,14
家人,5924879,14
速度,27578718,14
儲存,30689528,14
保養品,1861840,14
媽媽,14126571,14
女性,30635063,14
植萃,2766374,14
國小,3015759,14
比賽,2266330,14
尼龍,31123763,14
牆面,19508279,14
面積,42539919,14
洗滌,56491041,14
雙向,52998258,14
先生,13399347,14
雷射,118724218,14
數據,17043229,14
面板,25178111,14
上課,42379320,14
獨家,32012703,14
股份,7247844,14
萊卡,5152271,14
體重,17785355,14
當地,3884869,14
工作,29144825,14
知識,17902658,14
調理,4014395,14
放鬆,51773178,14
吊飾,8538002,14
舞台,2139329,14
裝備,31076820,14
耗材,81352233,14
氣體,6180911,14
濃度,5090955,14
清淨機,41132122,14
專用,40367640,14
伸縮,26674071,14
單體,31304363,14
訊號,31397672,14
容器,27259223,14
音頻,26411331,14
計劃,4744821,14
政府,23971783,14
正面,35470099,14
同學,2587989,14
畢業,1599671,14
包覆,16952821,14
文具,15341253,14
短路,19357447,14
物件,14471435,14
極速,56473855,14
滑鼠,19447097,14
公升,41663515,14
兩用,13816783,14
照射,33478387,14
通話,39323782,14
驗證,19982436,14
錶帶,26483285,14
動作,29766734,14
照顧,3808031,14
臀圍,27381230,14
鏡片,27738222,14
地區,4249098,14
臭氧,37963622,14
牙刷,20637616,14
更換,17479778,14
製成,22526013,14
穿上,18460877,14
鞋面,73258174,14
替換,30991778,14
滋潤,3391953,14
成長,70587206,13
內層,24223304,13
可拆式,51482650,13
行動,43967856,13
網路,21106903,13
高中,2887286,13
救援,21663557,13
閃爍,3845090,13
飲食,7621695,13
字幕,25980052,13
轉接頭,63305839,13
臉部,3056625,13
人物,5589129,13
志工,8126639,13
企業,3241865,13
品味,13364271,13
自行車,4901363,13
貼合,20626092,13
按鈕,22348700,13
情緒,5754766,13
攻擊,26536430,13
移動,9018932,13
散熱,31104244,13
家電,77698505,13
除菌,60798419,13
處理,20162651,13
軟體,40179452,13
迷你,24073735,13
精準,98448862,13
宇宙,27462692,13
水洗,33104455,13
防滑,18807437,13
記錄,22782306,13
募款,18734959,13
板材,27754108,13
委託,1643409,13
葡萄球菌,4195962,13
便利,3623111,13
內容,20115995,13
出差,12962682,13
頸部,34484618,13
民眾,4575423,13
單人,23730790,13
原木,5204967,13
太陽,16714252,13
公司,3460773,13
自由,8000001,13
直徑,62725807,13
氣味,9706818,13
產品,23398313,13
鞋款,46666598,13
減塑,46097539,13
防漏,68339549,13
聚酯,30253787,13
周邊,7872730,13
震動,47286604,13
鋰電池,23650673,13
場景,21435712,13
劇場,3215232,13
美學,8057959,13
個性,26839058,13
管理,14230472,13
按壓,19573090,13
對話,12617796,13
收藏,2337595,13
無限,12021859,13
月份,32429465,13
地點,6686450,13
旋轉,16657735,13
背部,38188733,13
超早,51936911,13
生態,13453063,13
非洲,32184830,13
姿勢,17102072,13
廢棄,4356075,13
暗袋,42840186,13
波長,4719870,13
超級,5809827,13
團體,28638097,13
幫助,2994428,13
捐款,2293300,13
捐贈,25456247,13
止滑,38046307,13
食用,2920848,13
悶熱,9044627,13
發貨,68868370,13
機芯,18060556,13
生命,8334251,13
腰圍,11732080,13
法國,12776966,13
雙層,19990198,13
疲勞,44789422,13
價格,28070199,13
毛髮,49041484,13
人生,32827956,13
成本,12339195,13
時光,7413829,13
接頭,20202269,13
插頭,25563002,13
分散,2406558,13
農藥,12450182,13
微生物,5874892,13
主人,13574677,13
刷毛,29325684,13
掛繩,16861712,12
時代,17115137,12
行銷,3565237,12
農業,3687857,12
費用,28565693,12
愛心,3110825,12
練習,31621809,12
朋友,8468298,12
心靈,2510561,12
健身,10165081,12
清爽,10039300,12
化學,15077896,12
據點,5696694,12
紀錄片,4154175,12
資金,22867126,12
花蓮,1456985,12
模具,10731019,12
認識,11975388,12
手指,19301903,12
好用,10777970,12
倉儲,57669598,12
園區,3558461,12
備貨,18637806,12
上蓋,19650183,12
主子,9044611,12
禮物,5574142,12
烘焙,27220464,12
電器,13175682,12
工程,5024322,12
獨享,20088116,12
熱量,10204273,12
灰塵,33547325,12
鑰匙圈,29319113,12
法人,19511273,12
把手,17534212,12
甲醛,31477974,12
光源,18497101,12
隨身碟,34858329,12
音訊,34424723,12
介面,45857303,12
接口,15368707,12
冠軍,23456852,12
感謝卡,5406887,12
音效,15427927,12
擺放,13801095,12
入場,2493715,12
還原,10814417,12
外出,4718050,12
沖泡,6616386,12
塑料,13324384,12
影片,48206042,12
湯匙,32874338,12
有害,37059681,12
擦拭,15707034,12
插座,24585261,12
機構,11658473,12
相容,27304980,12
地圖,48932715,12
雨傘,15931856,12
工廠,27742409,12
翻轉,55553101,12
等級,31379245,12
光線,5708945,12
成型,54530212,12
全球,16922588,12
桃園,8706067,12
錄製,26672992,12
爸爸,4427512,12
定量,1879037,12
吸收,25210458,12
遙控,27682248,12
模型,22889540,12
牛皮,30824665,12
英國,6828980,12
效能,34158729,12
魔鬼氈,18927295,12
萬用,15508404,12
係數,12466778,12
防盗,10619991,12
敏感,5601663,12
耐磨,26418186,12
打掃,40104051,12
紙張,20026792,12
紅外線,17320232,12
緩衝,5906796,12
參與,2685609,12
收音,37706132,12
小編,65177171,12
粉塵,46423092,12
顏色,7306999,12
高密度,24406895,12
黑色,16536153,12
筆記本,21731576,12
茶樹,2816918,12
橡膠,25879029,12
浪費,16952402,12
木質,15463249,12
擴香,9859815,12
寶貝,34520304,12
好玩,50337811,11
大人,47562288,11
玩樂,31205227,11
訪談,55003477,11
引導,34729201,11
白色,33410303,11
新品,43461116,11
水果,61900331,11
吊掛,20610320,11
防撞,7364225,11
內袋,13109039,11
耐用,47421097,11
農民,1611142,11
範例,12635237,11
樂器,1933059,11
堅固,23415744,11
不適,4957933,11
帆布,12805595,11
筆記,19343933,11
代表,20459284,11
穩固,36830823,11
頸椎,22121321,11
視訊,12614748,11
小米,106320083,11
筆身,18671125,11
文字,31508035,11
距離,22085269,11
海外,12287403,11
語言,34577803,11
杯身,38134230,11
洗碗機,24941160,11
美麗,5949752,11
飼主,10127731,11
貼文,4995540,11
烤箱,21290156,11
放入,10177036,11
讀者,5685451,11
大卡,7020204,11
強度,15107322,11
蔬菜,24970746,11
店家,2891317,11
塵蟎,22971194,11
花色,21101349,11
廠商,10181433,11
名字,1017319,11
一體,42816799,11
市集,1559444,11
訂製,13312647,11
斷電,15447812,11
杯子,16620266,11
分子,31829473,11
功效,21633231,11
靜音,32022150,11
購買,13507476,11
早鳥價,27292292,11
拼接,3131791,11
磨損,27601406,11
下單,23339137,11
研發,2962668,11
便當,16604783,11
冷凍,15514555,11
密碼,40144211,11
充電座,40783709,11
當代,14158758,11
影音,17405615,11
動力,12596242,11
台灣人,45637981,11
社團,15963343,11
主動,6943416,11
噪音,33091305,11
用途,6533421,11
多元,3291599,11
有線,26102626,11
套組,17077602,11
退換,13181288,11
調整,12224882,11
家用,50120084,11
圖片,44646699,11
招財,15872180,11
燈具,11747253,11
場域,2979204,11
手柄,13120543,11
冷卻,63288515,11
小包,28543349,11
分層,39569532,11
鍵盤,20961907,11
辦公,12295416,11
高速,11986563,11
名單,3164021,11
核心,4539417,11
輕巧,17309758,11
平衡,6478835,11
學系,770236,11
防腐劑,6076453,11
人類,5052333,11
固定,10037748,11
日常,5246530,11
桌子,11847326,11
視線,18764964,11
光學,23303487,11
專案,2741587,11
蛋白,14293132,11
補充,9903506,11
拆卸,8718122,11
照明,4514049,11
亮度,23218980,11
配對,18761058,11
不銹鋼,9501184,11
環境,8182556,11
磁鐵,36351251,11
記憶卡,40148337,11
畫質,62219334,11
氮化鎵,31922255,11
輕盈,42249161,11
坐墊,11392130,11
珍珠,5873825,11
機器人,50980889,11
降解,41849658,11
雙眼,37064712,11
強勁,19296781,11
書籍,12581521,11
房間,12477969,11
寶特瓶,28790305,11
雙腳,20654928,11
香港,41595518,11
肩寬,9206928,11
充氣,3525278,11
滅菌,13240422,11
濕度,13191248,11
濕氣,27089088,11
腳底,26292517,11
號碼,21155105,11
生活,9926605,11
頁面,20936941,11
線條,1850213,11
重力,12766199,11
足部,16099063,11
土壤,2804968,11
成份,1687575,11
分類,27380207,11
茶葉,2094034,11
污染,2919946,11
魔法,12015491,11
檢出,12550062,11
植鞣,34505308,11
列印,41691242,11
豪華,48547236,11
氣囊,2107010,11
方塊,70180073,10
軌道,53452846,10
隱藏式,6734747,10
拆洗,10748694,10
專利權人,6282964,10
韌性,16652182,10
安心,26307203,10
傷害,6829607,10
指示物,6088419,10
戲劇,6594647,10
位置,5254824,10
文創,2857984,10
農場,721174,10
高手,3580441,10
協助,2529139,10
腳掌,32285258,10
口感,6330858,10
單入,6588783,10
新聞,2696032,10
讀取,22109904,10
外殼,13511448,10
對應,7435344,10
附贈,32007565,10
醫師,18025114,10
市售,49542021,10
阿嬤,6515847,10
中國,54052435,10
台南,71280729,10
雜誌,15046457,10
計畫,18170693,10
平台,4606929,10
單車,18927808,10
太空,8793455,10
寬度,6312682,10
重量,15408418,10
冒險,7022205,10
美術,3198460,10
家長,14126429,10
規則,7872885,10
隱形,25535455,10
服貼,6262288,10
神經,6898965,10
標準,72387756,10
鋼筆,17000483,10
套件,51179780,10
雲端,19388781,10
拍照,37063437,10
報名,798353,10
習慣,5461414,10
手感,8406685,10
通勤,17450782,10
杯套,24274154,10
部位,5096070,10
保暖,7262590,10
懶人,30011523,10
中心,10359160,10
加工,6039984,10
桌板,5202671,10
枕頭,19633492,10
公園,9110255,10
項目,8914738,10
關係,2811665,10
雙人,12233490,10
接觸,6808616,10
舒服,2934812,10
樹脂,12840658,10
木材,44390895,10
圖案,31568448,10
辦理,5558785,10
社群,4188291,10
箱體,5249298,10
杯墊,32784011,10
元件,41051346,10
厚度,13012632,10
政策,19633455,10
腳長,9682426,10
活性碳,27325781,10
織帶,19709736,10
設計獎,16789141,10
理解,35306424,10
傾斜,22123738,10
畫作,2182854,10
會員,11810058,10
尺寸,6416262,10
圖騰,14444313,10
收折,10605251,10
場合,10295323,10
國家,25978387,10
高畫質,23194144,10
書籤,19766789,10
手沖,26914079,10
職人,4857184,10
發光,5859603,10
自拍,20582807,10
少女,13513485,10
皮夾,38985602,10
錢包,10855081,10
防曬,24671247,10
修護,2270065,10
拼圖,27183367,10
感測器,47009262,10
愛好,26458749,10
穿搭,6959910,10
腳架,34690445,10
螺絲,34863826,10
手提,17957363,10
音樂會,1210250,10
舞蹈,518844,10
大型,9742774,10
企劃,2342924,10
國立,10497471,10
原住民,2569522,10
演員,1576299,10
製片,959953,10
場地,2626444,10
購物袋,11143954,10
隱藏,35410283,10
加厚,5400303,10
左右,7239386,10
場次,2584301,10
骰子,12425308,10
噴嘖,49326272,10
貼身,35196247,10
演奏,27245318,10
靈活,14686464,10
曲線,44670482,10
泡沫,13754912,10
女人,12532371,10
香味,3000065,10
開箱,66900344,10
黃銅,23461278,10
復古,12907726,10
毫克,3112572,10
維生素,3283745,10
超大,16809769,10
工作者,14130050,10
坐姿,21850749,10
內裡,20112082,10
耐重,21736372,10
型號,20173043,10
支撐力,11591570,10
進口,9930350,10
深度,20238953,10
身心,2261205,10
口味,9328210,10
檸檬,2255808,10
提示,14983782,10
耐用性,44974975,10
設置,38331226,10
雙手,5262415,10
蜂巢,5413929,10
隔層,13335603,10
吸塵器,17888281,10
床墊,15282348,10
承重,16916701,10
種植,2603586,10
分析,5022782,10
水泥,2598219,10
募資,22625539,10
防風,20493175,10
美好,7096909,10
幸福,5101942,10
汙染,3851441,10
自來水,16850523,10
洗澡,14011484,10
濾芯,69975115,10
重金屬,4666086,10
毛孔,21393690,10
氧化,11876080,10
瓶身,14046378,10
徽章,5772842,10
客製,13639173,10
彈力,10552891,10
排水,31880865,10
動態,58308627,10
洗手,1938025,10
追蹤,2488807,10
名片,19502584,10
程式,16840465,10
零食,7174002,10
清淨,31189020,10
姓名,1149384,10
節目,20326922,10
高山,4750776,10
懸浮,23493096,10
鑽石,2985211,10
顆粒,26550198,10
磁吸式,32689812,10
濃縮,4473484,10
經濟,3718265,10
月曆,2342662,10
幼兒,68134312,9
樂趣,28938573,9
提把,35784668,9
特色,12358623,9
掛勾,23575942,9
耐溫,28680453,9
質地,6311674,9
方便,30920717,9
漏水,21478232,9
追加,6229588,9
回合,5189202,9
勝利,24408987,9
終生,29948842,9
寄送,7155428,9
收入,2250792,9
自訂,10502485,9
干擾,14549030,9
高音,14819891,9
水箱,34862417,9
餐廳,7281233,9
攝取,9617604,9
耐熱,18943290,9
防塵,13816094,9
通用,5703360,9
總重量,11953376,9
總統,18443802,9
鼓勵,5924544,9
攝影師,14808079,9
紅茶,1299440,9
內置,17183846,9
產地,27523976,9
媒體,38355139,9
治療,15607083,9
元素,19778855,9
洗衣機,56098244,9
烘乾,55679803,9
授權,77930972,9
嘉義,50860997,9
墨水,14513510,9
前往,7739802,9
用戶,19874199,9
障礙,1881397,9
分享,6885015,9
頻率,15030514,9
保健,5884436,9
超商,5331395,9
羊毛,12785483,9
澳洲,3559442,9
抽屜,29977311,9
物資,799644,9
傢俱,32024034,9
顧客,4784759,9
台中,3604858,9
團購,25435815,9
製品,8725103,9
合成,3437263,9
飼料,1908151,9
木頭,17653906,9
精美,2239884,9
娛樂,13131328,9
廣告,21874167,9
民主,2401953,9
帆布袋,24226974,9
精選,8345269,9
登錄,17380913,9
藍光,36946308,9
填寫,8351814,9
風格,4586576,9
旋鈕,54286767,9
潮濕,11578871,9
同步,15900159,9
直覺,21328278,9
思考,8854271,9
全身,1466460,9
象徵,14036918,9
證件,15430584,9
平等,2138321,9
行車,7909155,9
推廣,14608307,9
聆聽,9842454,9
彩虹,3621906,9
清晰,13902509,9
事故,11444827,9
變換,15074876,9
粉紅,2333551,9
祝福,1300262,9
台幣,4925997,9
拆封,2715555,9
排放,3123865,9
信用卡,41238930,9
發展,1769673,9
休閒,5984315,9
模擬,22783705,9
大地,15362360,9
蔬果,20114668,9
筷子,15121401,9
手把,14974242,9
過載,21287607,9
發酵,3412669,9
垂直,10255210,9
底部,29580570,9
烤漆,3321527,9
痠痛,18067639,9
故障,10134769,9
切割,51733817,9
戰鬥,4725784,9
印度,39249364,9
物理,16546228,9
壓縮,10096436,9
打樣,42932868,9
延伸,27835635,9
基礎,26543479,9
大使,36991367,9
精華,2797991,9
劇本,2794679,9
輔助,6498513,9
緊急,22726990,9
優雅,54963049,9
示範,41870250,9
霧面,2930895,9
泡泡,2697933,9
充電盒,19033796,9
解碼,21049793,9
手持,16909489,9
含量,6954988,9
比例,17178635,9
夜間,11705572,9
關機,18049659,9
手腕,14507658,9
打字,20543414,9
硬度,25542892,9
內頁,8240491,9
掃描,54295013,9
電機,38257671,9
轉動,10723407,9
原廠,32037300,9
主辦,1456825,9
硬體,21213134,9
壓迫,10546010,9
沙發,27543112,9
模組化,7405320,9
指導,4173383,9
保修,14643159,9
交通,6262613,9
沐浴,11221616,9
劇情,1863286,9
研究所,4112478,9
山林,20951686,9
贈送,6601422,9
吸力,41344654,9
用餐,2169299,9
紋路,8361615,9
有趣,1552526,9
護照,5286789,9
家具,35589045,9
想像,4321995,9
燃燒,15645244,9
人們,584510,9
皮件,31365182,9
純淨,4750617,9
行走,29694556,9
腳跟,7262665,9
混合,5338891,9
對照組,4254709,9
薄膜,34632027,9
感染,8839214,9
俐落,14972006,9
特製,15366806,9
模組,13364192,9
小姐,18960135,9
噴噴,3414683,9
鏡面,11618431,9
大自然,3357162,9
養成,3713757,9
手部,4152957,9
精緻,1646818,9
解析度,52581866,9
草本,575799,9
好茶,1723130,9
殺死,27614001,9
展出,2879168,9
上手,8740871,9
產業,4834347,9
世界,25377321,9
新竹,1230567,9
收納包,8734066,9
微型,41895958,9
購價,9672022,9
壓克力,44098147,9
褲子,12410766,9
恆溫,6052043,9
台北市,3082696,9
奶茶,4471703,9
噴灑,4055669,9
靜電,57634296,9
電力,19650302,9
刀片,7609036,9
義大利,9472685,9
剪裁,29911602,9
流通,4219412,9
對流,1738350,9
口腔,10915422,9
退換貨,32411503,9
日曆,37504050,9
車用,18356638,9
投影,43171754,9
挑戰,55657258,8
入選,31246130,8
拿取,7461113,8
內徑,12661849,8
剪刀,8794423,8
物質,33770230,8
財富,4122297,8
配樂,1938601,8
繪製,15896899,8
銷售,32834100,8
小農,2091118,8
家園,7280031,8
設施,15891036,8
居住,2293798,8
食譜,7030077,8
高功率,16094879,8
烹飪,26892390,8
真空,6055825,8
主廚,21924361,8
硬碟,12189762,8
開機,10114276,8
高端,7819720,8
多媒體,7955080,8
業界,11070880,8
推薦,19705224,8
高溫,3912957,8
微笑,1391336,8
時空,5120975,8
同志,4015068,8
人權,6835296,8
新北市,11843386,8
美感,3661938,8
飯店,17425791,8
警示,14661596,8
出行,1756327,8
傳導,16504566,8
區域,28049808,8
快樂,1706162,8
心情,3413918,8
超薄,5404831,8
支付,29465255,8
網址,2049701,8
肥皂,10252643,8
代理,55153046,8
宜蘭,50112184,8
乾淨,61293212,8
加贈,22084977,8
備份,20307828,8
平面,10576020,8
周圍,38864415,8
發行,5871698,8
外帶,29538267,8
微波爐,7535863,8
綠色,7561578,8
監測,11749347,8
攝影機,16721185,8
婦女,7587833,8
創辦人,4451130,8
升降,40872156,8
清理,19817420,8
超微量,12107314,8
說明,2818107,8
布套,21309804,8
上市價,5017991,8
擠壓,9392477,8
建議,32795680,8
患者,1223809,8
來源,2857512,8
預防,5290615,8
油脂,8087494,8
師傅,6024015,8
預約,25060687,8
文章,4312752,8
